City,Center.Lat,Center.Long,Center.lat.rad,Center.long.rad,Border.Lat,Border.Long,Border.lat.rad,Border.long.rad,Distance
Atlanta,33.748995,-84.387982,0.589031082,-1.472848135,33.56932547,-84.58567597,0.585895257,-1.476298546,27.09095749
Baltimore,39.290385,-76.612189,0.685746583,-1.337134945,39.44216132,-76.82413855,0.688395579,-1.340834163,24.83557785
Boston,42.360082,-71.05888,0.739322902,-1.240211419,42.24489278,-71.09443589,0.737312471,-1.240831986,13.13799825
Charlotte,35.227087,-80.843127,0.614828654,-1.410978744,35.35451486,-80.97724664,0.61705269,-1.413319573,18.68011135
Cincinnati,39.103118,-84.51202,0.682478157,-1.475013007,39.21036431,-84.20933713,0.684349958,-1.469730194,28.69366687
Cleveland,41.49932,-81.694361,0.724299771,-1.42583558,41.50086344,-81.43845851,0.724326709,-1.421369239,21.31223229
Detroit,42.331427,-83.045754,0.738822778,-1.449421837,42.09439875,-83.29527244,0.734685855,-1.453776755,33.42063107
Jacksonville,30.332184,-81.655651,0.52939648,-1.425159963,30.49372033,-81.59247769,0.532215821,-1.424057381,18.95608297
Montreal,45.501689,-73.567256,0.794154288,-1.283990839,45.56647905,-73.93393591,0.795285088,-1.290390611,29.45541625
NewYork,40.77135489,-73.97386744,0.711594383,-1.291087547,40.92361674,-73.82364166,0.714251854,-1.288465613,21.12628059
Norfolk,36.850769,-76.285873,0.643167251,-1.331439657,36.67517275,-76.22679675,0.640102518,-1.330408581,20.22216352
Philadelphia,39.952584,-75.165222,0.697304135,-1.311880607,39.98916479,-75.40328602,0.697942591,-1.316035608,20.69075853
Pittsburgh,40.440625,-79.995886,0.705822058,-1.396191599,40.74218463,-80.07252894,0.711085266,-1.39752927,34.15068576
Tampa,27.950575,-82.457178,0.487829562,-1.439149248,27.98927875,-82.24690528,0.488505069,-1.435479297,21.0938744
Toronto.E,43.653226,-79.383184,0.761892523,-1.385497932,43.84142079,-79.23118903,0.765177142,-1.382845119,24.22758802
Toronto.N,43.653226,-79.383184,0.761892523,-1.385497932,43.86217084,-79.48786302,0.765539298,-1.387324925,24.70787419
Toronto.W,43.653226,-79.383184,0.761892523,-1.385497932,43.53322337,-79.73545026,0.759798082,-1.391646138,31.3506166
Washington D.C.,38.907192,-77.036871,0.679058603,-1.344547044,38.99110794,-77.15710616,0.680523213,-1.346645544,13.97057525
Toronto,43.653226,-79.383184,,,,,,,26.76202627